Stazione;Data;Dato pluviometrico giornaliero 0-24
Arrone a Maccarese ;05/03/2021;0,2
Arrone a Maccarese ;06/03/2021;1,4
Arrone a Maccarese ;07/03/2021;21,3
Arrone a Maccarese ;08/03/2021;39,2
Arrone a Maccarese ;09/03/2021;32,3
Arrone a Maccarese ;10/03/2021;0
Arrone a Maccarese ;11/03/2021;0
Arrone a Maccarese ;12/03/2021;0,2
Arrone a Maccarese ;13/03/2021;0
Arrone a Maccarese ;14/03/2021;0
Arrone a Maccarese ;15/03/2021;0
Arrone a Maccarese ;16/03/2021;0
Arrone a Maccarese ;17/03/2021;3
Arrone a Maccarese ;18/03/2021;0
Arrone a Maccarese ;19/03/2021;0
Arrone a Maccarese ;20/03/2021;0
Arrone a Maccarese ;21/03/2021;0
Arrone a Maccarese ;22/03/2021;0
Arrone a Maccarese ;23/03/2021;0
Arrone a Maccarese ;24/03/2021;0
Arrone a Maccarese ;25/03/2021;0
Arrone a Maccarese ;26/03/2021;0
Arrone a Maccarese ;27/03/2021;0
Arrone a Maccarese ;28/03/2021;0
Arrone a Maccarese ;29/03/2021;0
Arrone a Maccarese ;30/03/2021;0
Arrone a Maccarese ;31/03/2021;0
Arsoli ;01/03/2021;0
Arsoli ;02/03/2021;0
Arsoli ;03/03/2021;0
Arsoli ;04/03/2021;0
Arsoli ;05/03/2021;0
Arsoli ;06/03/2021;5,4
Arsoli ;07/03/2021;5,4
Arsoli ;08/03/2021;28
Arsoli ;09/03/2021;35
Arsoli ;10/03/2021;0
Arsoli ;11/03/2021;0
Arsoli ;12/03/2021;0,6
Arsoli ;13/03/2021;0,2
Arsoli ;14/03/2021;1,2
Arsoli ;15/03/2021;0
Arsoli ;16/03/2021;0,4
Arsoli ;17/03/2021;0
Arsoli ;18/03/2021;1,4
Arsoli ;19/03/2021;0
Arsoli ;20/03/2021;0
Arsoli ;21/03/2021;0
Arsoli ;22/03/2021;0
Arsoli ;23/03/2021;0
Arsoli ;24/03/2021;0
Arsoli ;25/03/2021;0
Arsoli ;26/03/2021;0
